date,geography,geography code,Welsh writing ability: Total: All usual residents aged 3 years and over,Welsh writing ability: Cannot write Welsh,Welsh writing ability: Can write Welsh
2021,Powys 010A,W01000429,2272,1913,359
2021,Powys 015A,W01000430,1288,1180,108
2021,Powys 014A,W01000431,1226,1074,152
2021,Powys 014B,W01000432,1178,1033,145
2021,Powys 006A,W01000433,2219,1749,470
2021,Powys 007A,W01000434,1704,1645,59
2021,Powys 012A,W01000438,1203,1132,71
2021,Powys 007B,W01000439,1984,1779,205
2021,Powys 020A,W01000440,1287,1143,144
2021,Powys 005B,W01000441,1493,1376,117
2021,Powys 004A,W01000442,1999,1043,956
2021,Powys 015B,W01000443,2236,2086,150
2021,Powys 002A,W01000444,2199,1950,249
2021,Powys 015C,W01000445,1460,1393,67
2021,Powys 015D,W01000446,1642,1555,87
2021,Powys 007C,W01000447,1954,1801,153
2021,Powys 011B,W01000448,1352,1282,70
2021,Powys 011C,W01000449,1495,1402,93
2021,Powys 014C,W01000450,1364,1212,152
2021,Powys 012B,W01000451,1158,1074,84
2021,Powys 004B,W01000452,1964,1177,787
2021,Powys 010B,W01000453,1352,1163,189
2021,Powys 013A,W01000454,1244,1137,107
2021,Powys 013B,W01000455,2122,1944,178
2021,Powys 013C,W01000456,2120,1936,184
2021,Powys 002B,W01000457,2098,1904,194
2021,Powys 002C,W01000458,1814,1653,161
2021,Powys 014D,W01000459,1184,1071,113
2021,Powys 006B,W01000460,1668,1188,480
2021,Powys 001A,W01000461,1547,1134,413
2021,Powys 011D,W01000464,1154,1082,72
2021,Powys 018E,W01000465,1018,929,89
2021,Powys 010C,W01000466,1289,1140,149
2021,Powys 010D,W01000467,1422,1250,172
2021,Powys 001D,W01000470,1948,1692,256
2021,Powys 014E,W01000471,1723,1518,205
2021,Powys 012C,W01000472,1160,1050,110
2021,Powys 004C,W01000473,2092,1292,800
2021,Powys 020B,W01000474,1708,1391,317
2021,Powys 001E,W01000475,2349,1811,538
2021,Powys 005C,W01000476,1250,1159,91
2021,Powys 012D,W01000477,1487,1367,120
2021,Powys 009A,W01000478,1797,1631,166
2021,Powys 009B,W01000479,1401,1258,143
2021,Powys 008A,W01000480,2036,1847,189
2021,Powys 008B,W01000481,2139,1906,233
2021,Powys 008C,W01000482,1853,1635,218
2021,Powys 009C,W01000483,1772,1594,178
2021,Powys 011E,W01000484,1650,1559,91
2021,Powys 011F,W01000485,1553,1475,78
2021,Powys 011G,W01000486,1039,977,62
2021,Powys 012E,W01000487,2029,1819,210
2021,Powys 006C,W01000488,2124,1782,342
2021,Powys 017A,W01000489,1741,1562,179
2021,Powys 017D,W01000492,1492,1364,128
2021,Powys 017E,W01000493,1693,1536,157
2021,Powys 015E,W01000494,1661,1513,148
2021,Powys 021B,W01000496,2036,1684,352
2021,Powys 005D,W01000497,1339,1236,103
2021,Powys 003A,W01000498,1439,1322,117
2021,Powys 003B,W01000499,1208,1113,95
2021,Powys 003C,W01000500,1644,1476,168
2021,Powys 003D,W01000501,2158,1937,221
2021,Powys 021C,W01000502,2023,1503,520
2021,Powys 020C,W01000503,1034,919,115
2021,Powys 021D,W01000504,1097,918,179
2021,Powys 021E,W01000505,1399,1027,372
2021,Ceredigion 005A,W01000506,1250,618,632
2021,Ceredigion 009A,W01000507,1112,688,424
2021,Ceredigion 009B,W01000508,1010,638,372
2021,Ceredigion 009C,W01000509,1819,1006,813
2021,Ceredigion 009D,W01000510,1149,705,444
2021,Ceredigion 009E,W01000511,1135,767,368
2021,Ceredigion 002A,W01000512,1341,815,526
2021,Ceredigion 002B,W01000513,2085,1628,457
2021,Ceredigion 003A,W01000515,1276,934,342
2021,Ceredigion 003B,W01000516,1580,1190,390
2021,Ceredigion 002D,W01000517,1157,930,227
2021,Ceredigion 003C,W01000518,991,703,288
2021,Ceredigion 010A,W01000519,1721,977,744
2021,Ceredigion 010B,W01000522,1181,699,482
2021,Ceredigion 001C,W01000523,1836,1005,831
2021,Ceredigion 005B,W01000524,1877,1025,852
2021,Ceredigion 011A,W01000525,1210,723,487
2021,Ceredigion 008A,W01000527,1130,694,436
2021,Ceredigion 008B,W01000528,1312,774,538
2021,Ceredigion 010C,W01000531,1722,1010,712
2021,Ceredigion 010D,W01000533,1313,666,647
2021,Ceredigion 011B,W01000534,1485,798,687
2021,Ceredigion 008C,W01000535,1996,1092,904
2021,Ceredigion 011E,W01000536,1336,771,565
2021,Ceredigion 008D,W01000537,1366,866,500
2021,Ceredigion 005C,W01000538,1506,798,708
2021,Ceredigion 005D,W01000539,1150,671,479
2021,Ceredigion 005E,W01000540,1117,664,453
2021,Ceredigion 008E,W01000541,1699,906,793
2021,Ceredigion 011F,W01000542,2151,1171,980
2021,Ceredigion 011C,W01000543,1959,1125,834
2021,Ceredigion 007D,W01000545,1944,1177,767
2021,Ceredigion 009F,W01000546,1115,701,414
2021,Ceredigion 009G,W01000547,1120,583,537
2021,Ceredigion 001D,W01000548,1727,977,750
2021,Ceredigion 001E,W01000549,1716,946,770
2021,Ceredigion 011G,W01000550,1130,551,579
2021,Ceredigion 010E,W01000551,1346,758,588
2021,Ceredigion 011D,W01000552,1954,958,996
2021,Pembrokeshire 011A,W01000553,1212,1111,101
2021,Pembrokeshire 009A,W01000554,1812,1663,149
2021,Pembrokeshire 008A,W01000555,1491,1326,165
2021,Pembrokeshire 008B,W01000556,1153,1032,121
2021,Pembrokeshire 014A,W01000557,1488,1347,141
2021,Pembrokeshire 001A,W01000558,2066,1243,823
2021,Pembrokeshire 001B,W01000559,1427,819,608
2021,Pembrokeshire 001C,W01000560,1268,608,660
2021,Pembrokeshire 001D,W01000561,1269,643,626
2021,Pembrokeshire 002A,W01000562,1576,960,616
2021,Pembrokeshire 011B,W01000563,1100,980,120
2021,Pembrokeshire 011C,W01000564,1267,1141,126
2021,Pembrokeshire 002B,W01000565,1796,1418,378
2021,Pembrokeshire 002C,W01000566,1549,1184,365
2021,Pembrokeshire 002D,W01000567,1968,1543,425
2021,Pembrokeshire 005B,W01000569,1065,966,99
2021,Pembrokeshire 005C,W01000570,1366,1246,120
2021,Pembrokeshire 006A,W01000571,2355,2130,225
2021,Pembrokeshire 005D,W01000572,1783,1634,149
2021,Pembrokeshire 006B,W01000573,2494,2225,269
2021,Pembrokeshire 015A,W01000574,1684,1567,117
2021,Pembrokeshire 008C,W01000575,2716,2488,228
2021,Pembrokeshire 011D,W01000576,2243,2051,192
2021,Pembrokeshire 007A,W01000577,1523,1299,224
2021,Pembrokeshire 014B,W01000578,1679,1547,132
2021,Pembrokeshire 003A,W01000579,2308,1748,560
2021,Pembrokeshire 009B,W01000580,2264,2074,190
2021,Pembrokeshire 003B,W01000581,1376,971,405
2021,Pembrokeshire 004A,W01000582,1636,1052,584
2021,Pembrokeshire 004B,W01000583,1391,868,523
2021,Pembrokeshire 014C,W01000584,2023,1840,183
2021,Pembrokeshire 007B,W01000585,1332,1144,188
2021,Pembrokeshire 006C,W01000586,2142,1941,201
